,name,difficulty_code,district,difficulty,description,polyline
180,PHINNEY AVE N,i,Current,#FFFF00,In street major separation,"[(47.66534764940732, -122.35443435393253), (47.66541798990303, -122.35443376360031), (47.66571329026889, -122.35443116795605)]"
182,THORNDYKE AVE W,d,Current,#FF0000,In street minor separation,"[(47.634244057584176, -122.39153849202887), (47.63510146495839, -122.39060055947608)]"
184,PHINNEY AVE N,i,Current,#FFFF00,In street major separation,"[(47.665019381365695, -122.35395996556564), (47.665019650159806, -122.35397837334325), (47.66501992578364, -122.3539815466033), (47.665020214780995, -122.35398471713732), (47.665020517137975, -122.3539878859839), (47.66502083218063, -122.35399105104509), (47.665021160596794, -122.35399421338022), (47.66502150168482, -122.35399737296866), (47.66502185616013, -122.3540005287923), (47.66502222330724, -122.35400368186932), (47.66502260384174, -122.3540068311815), (47.66502299706196, -122.35400997670827), (47.665023402953885, -122.35401311948847), (47.66502382365052, -122.35401625750613), (47.66502425561558, -122.35401939273615), (47.66502470168353, -122.35402252318313), (47.66502515973545, -122.35402564982435), (47.66502563118864, -122.35402877166185), (47.665026115313644, -122.35403189075295), (47.665026612853694, -122.35403500400159), (47.66502712309333, -122.35403811242624), (47.665027646018665, -122.3540412170656), (47.66502818164352, -122.35404431688076), (47.665028729967986, -122.35404741187206), (47.66502929169362, -122.3540505020598), (47.665029866146625, -122.354053585346), (47.66503045258353, -122.35405666482629), (47.665031052435516, -122.35405973846423), (47.66503166500105, -122.35406280623975), (47.66503229026605, -122.35406586919085), (47.66503292754278, -122.35406892625898), (47.66503357823467, -122.35407197748464), (47.66503424093832, -122.35407502282715), (47.66503491707089, -122.35407806128859), (47.66503560520136, -122.3540810949056), (47.665036306059065, -122.35408412162107), (47.66503701894239, -122.35408714141448), (47.665037744539156, -122.35409015534502), (47.665038482863224, -122.35409316237434), (47.66503923391464, -122.35409616250206), (47.66503999699159, -122.35409915570784), (47.66504077209413, -122.35410214199152), (47.665041559924056, -122.35410512137378), (47.665042359779534, -122.3541080938341), (47.66504317237622, -122.35411105835406), (47.66504399699844, -122.35411401595206), (47.66504483436198, -122.35411696561007), (47.66504568306315, -122.35411990728666), (47.66504654449163, -122.35412284206184), (47.665047417959656, -122.35412576887632), (47.66504830348103, -122.35412868669128), (47.66504920102809, -122.35413159758431), (47.66505011062837, -122.35413449947791), (47.66505103226815, -122.35413739341082), (47.66505196594751, -122.354140279383), (47.665052910992394, -122.35414315529646), (47.66505386875066, -122.35414602534728), (47.66505483788844, -122.35414888430057), (47.66505581906553, -122.3541517352933), (47.66505681159441, -122.354154577266), (47.665057816176684, -122.35415741023921), (47.665058832826155, -122.35416023317431), (47.66505986081343, -122.3541630481283), (47.66506090016626, -122.35416585302342), (47.66506195157239, -122.35416864891923), (47.6650630143441, -122.35417143475644), (47.66506408848137, -122.3541742105348), (47.66506517397035, -122.35417697729338), (47.66506627154041, -122.354179732975), (47.66506737976044, -122.35418247961614), (47.665068500047724, -122.3541852162191), (47.66506963099894, -122.35418794274298), (47.66507077332951, -122.35419065816939), (47.66507192702559, -122.3541933635371), (47.66507309208727, -122.35419605884618), (47.66507426782674, -122.3541987430374), (47.665075454945644, -122.35420141613125), (47.66507665343001, -122.35420407916635), (47.66507786189048, -122.35420673106303), (47.66507908243207, -122.35420937188277), (47.66508031365139, -122.35421200158468), (47.665081555548475, -122.35421462016862), (47.66508280812333, -122.35421722763469), (47.66508407209147, -122.35421982296464), (47.66508534603569, -122.35422240715619), (47.66508663065762, -122.3542249802297), (47.665087926672825, -122.35422754116718), (47.665089232677985, -122.35423008992754), (47.66509054936094, -122.35423262756997), (47.6650918760477, -122.35423515199639), (47.6650932141139, -122.35423766532554), (47.66509456215611, -122.3542401675162), (47.665095920216004, -122.3542426554522), (47.665097288967615, -122.35424513123164), (47.66509866769518, -122.35424759587262), (47.665100057142226, -122.35425004627947), (47.66510145446022, -122.3542524854863), (47.6651028645888, -122.35425491155947), (47.66510428261609, -122.35425732435506), (47.66510571203671, -122.35425972501443), (47.66510715146121, -122.3542621124581), (47.66510860090336, -122.35426448564711), (47.66511005963379, -122.35426684663835), (47.66511152766623, -122.35426919439317), (47.66511300573042, -122.35427152685467), (47.66511449375668, -122.35427384921653), (47.66511599111291, -122.35427615626443), (47.66511749777115, -122.35427845007588), (47.66511901444722, -122.35428072963283), (47.66512053972373, -122.35428299593272), (47.66512207501793, -122.35428524797803), (47.66512361962807, -122.3542874857481), (47.66512517283874, -122.3542897102613), (47.66512673608097, -122.35429191948123), (47.6651283079236, -122.354294115444), (47.665129888380605, -122.35429629711128), (47.66513147885535, -122.35429846452385), (47.665133077256556, -122.35430061658141), (47.66513539965663, -122.35430369387143)]"
186,UNIVERSITY WAY NE,d,Current,#FF0000,In street minor separation,"[(47.668547276007516, -122.31301785405094), (47.66944206979693, -122.31302379295886)]"
190,S HENDERSON ST,d,Current,#FF0000,In street minor separation,"[(47.52329786868815, -122.26633171163809), (47.523293455281255, -122.26462674745979), (47.52329337509896, -122.26459578420355), (47.52329327003122, -122.26455526261776)]"
194,16TH AVE SW,d,Current,#FF0000,In street minor separation,"[(47.55369079196436, -122.35479707111665), (47.551917874772954, -122.35481040843064)]"
198,2ND AVE,i,Current,#FFFF00,In street major separation,"[(47.61701870828147, -122.35069050827214), (47.61758357825309, -122.35164593615303)]"
199,14TH AVE S,d,Current,#FF0000,In street minor separation,"[(47.601688757918524, -122.31416192696105), (47.601598283827855, -122.31415860432419), (47.60093963120704, -122.31413441779189), (47.60084904066034, -122.31413108986148)]"
201,FREMONT AVE N,i,Current,#FFFF00,In street major separation,"[(47.65895414444981, -122.35001328050618), (47.65933824471444, -122.35001727911684)]"
202,4TH AVE,i,Current,#FFFF00,In street major separation,"[(47.60608785836984, -122.33290910523107), (47.60673881654585, -122.3335048790366), (47.6068012878024, -122.3335620502045)]"
203,UNIVERSITY BR,i,Current,#FFFF00,In street major separation,"[(47.65540954904268, -122.31831235877966), (47.655470828300956, -122.31826625071626)]"
204,SW SPOKANE ST,e,Current,#00FF00,Multi use Trail,"[(47.57162731388918, -122.35935251855594), (47.5716817291852, -122.35955710618977), (47.571760883088494, -122.35971710616806), (47.57185689325485, -122.3598375547215), (47.57209540187754, -122.36001028319106)]"
206,DEXTER AVE N,d,Current,#FF0000,In street minor separation,"[(47.63957729851063, -122.344153016979), (47.6403250739603, -122.34439623156511)]"
208,S COLUMBIAN WAY,i,Current,#FFFF00,In street major separation,"[(47.560616152005544, -122.30787491561318), (47.56047702021554, -122.30744908509563), (47.55985332499887, -122.3055377223278)]"
216,EAST GREEN LAKE DR N,i,Current,#FFFF00,In street major separation,"[(47.68561245078355, -122.33676544135871), (47.68565075829788, -122.33701741164185), (47.68566772166094, -122.33728315694937), (47.68566422186435, -122.33754830899528), (47.68564978173654, -122.33779494084938)]"
220,WESTERN AVE,d,Current,#FF0000,In street minor separation,"[(47.61271039189935, -122.34737243397255), (47.612790039266315, -122.34752538639486), (47.613479589005756, -122.34867330924975)]"
224,BURKE GILMAN TRL,e,Current,#00FF00,Multi use Trail,"[(47.650868749659914, -122.30545589058866), (47.65088587418201, -122.30538911801716), (47.65090804999971, -122.30531261633716), (47.650928167187416, -122.3052477723281), (47.650952916118435, -122.30517301901416), (47.6509790248139, -122.30509928686237), (47.651006475049016, -122.30502662833334), (47.65103524576539, -122.30495509788544), (47.65106531523013, -122.30488474788092), (47.65109210724688, -122.30482542583337), (47.65112453175713, -122.30475740492429), (47.651158189977934, -122.30469070908624), (47.651193055993076, -122.30462538848678), (47.651229108150595, -122.30456148925961), (47.65126631563597, -122.30449906039574), (47.65129910831764, -122.30444675473697), (47.651338392490366, -122.30438717584332), (47.65137875241979, -122.30432919595422), (47.65142016020594, -122.30427285583424), (47.65145646289552, -122.3042259015952), (47.65148074271524, -122.30419605671352), (47.6514997335964, -122.30417271393556), (47.65154396217838, -122.30412128504756), (47.65158911732668, -122.30407164832873), (47.65162853316733, -122.30403055683416), (47.6516753181728, -122.30398434648413), (47.65172293299326, -122.30394002841982), (47.65177134206372, -122.30389763903702), (47.65182050923774, -122.3038572053658), (47.651863230157694, -122.30382412932062), (47.65191370902841, -122.30378740912187), (47.65196484315007, -122.3037527279625), (47.651983085365416, -122.30374115052378), (47.65205192786291, -122.30370263802777), (47.65212478577972, -122.30365556760943), (47.65235083286583, -122.30354057801107), (47.652545126061504, -122.30346515146157), (47.65275484821011, -122.30340461029539), (47.652815509944176, -122.30339476490644), (47.65317053807103, -122.30327185863288), (47.65478325911271, -122.30279238974687), (47.656174947681315, -122.30237864438826), (47.657312584078475, -122.30204756940046), (47.65742686799089, -122.3020133526813), (47.65752072762031, -122.30199353659548), (47.65765514618248, -122.30196737732805), (47.65783771108789, -122.3019350880702), (47.65790360730229, -122.3019257151563), (47.65801006313693, -122.30191000007905), (47.65809122998111, -122.30189356951345), (47.6585376945506, -122.3018252268211), (47.65861584920234, -122.30182165357533), (47.65869415287164, -122.30180652262382), (47.65878004144892, -122.30180894876463), (47.65950997156293, -122.30180109275227), (47.659644309273276, -122.30180177878972), (47.65982285991669, -122.30180371479788), (47.65993998154178, -122.30180702222391), (47.66003367786171, -122.3018096679401), (47.66014929058371, -122.30183456726822)]"
225,YESLER WAY,d,Current,#FF0000,In street minor separation,"[(47.60171870487042, -122.33198350672295), (47.6017182896734, -122.33156148427908), (47.60171615725104, -122.33026479453544)]"
227,10TH AVE E,i,Current,#FFFF00,In street major separation,"[(47.63954711370506, -122.32006287231006), (47.63963234300454, -122.32006267909127), (47.64135501135062, -122.32005880494694)]"
228,ARBORETUM DR E,d,Current,#FF0000,Sharrows,"[(47.62817125320134, -122.29420007180941), (47.628190368097535, -122.2942056925575), (47.628207156842414, -122.29420616406522), (47.62823426249083, -122.29421284098241), (47.62825023613009, -122.29421447231799), (47.62827013142784, -122.29422212945947), (47.628309093145276, -122.29423978591794), (47.62833379899615, -122.29424639546615), (47.62835527827948, -122.29425527983935), (47.62841331947753, -122.29428175334466), (47.62842840279859, -122.29429045914424), (47.628469263507185, -122.2943054723548), (47.62848415184631, -122.29430858721152), (47.628497667081355, -122.29431488146527), (47.62851042790877, -122.29431760636353), (47.62851997523738, -122.29432142372883), (47.62853036875069, -122.2943217146146), (47.628543974345995, -122.29432091403315), (47.628556795899335, -122.29431890766728), (47.62856886374684, -122.2943133319573), (47.62858274213543, -122.29430899709095), (47.62938023943832, -122.29418090589206), (47.62941073407816, -122.29418862307547), (47.629443114919226, -122.29419496751109), (47.629475638285726, -122.29419944994078), (47.62950359119726, -122.29420180507914), (47.62954090951792, -122.29420328307991), (47.629568881245525, -122.29420510189463), (47.629596818782225, -122.29420783458946), (47.62962470948409, -122.2942114818489), (47.629652537953824, -122.29421604012708), (47.6296802922758, -122.29422150805219), (47.629707957039194, -122.29422788311597), (47.62974010353207, -122.29423646192326), (47.62976753054202, -122.29424478980899), (47.62979482673942, -122.29425401225679), (47.62993612500216, -122.29430642813607), (47.63006754758677, -122.29435419204898), (47.63021274639819, -122.29440579800053), (47.630362676040924, -122.29445780816222), (47.63037621351339, -122.29446308045875), (47.63039399053663, -122.29447148639895), (47.63041139954544, -122.29448143860651), (47.63042837923004, -122.29449290109238), (47.63044079535668, -122.29450246487154), (47.63045687971796, -122.29451646920931), (47.63046855886959, -122.29452788665598), (47.63048357503599, -122.29454428365072), (47.630494390360454, -122.29455742970727), (47.63051470018355, -122.29457511770399), (47.630559183985554, -122.29461301352865), (47.63060400041138, -122.29465004129061), (47.63064502523049, -122.29468294282775), (47.630690455612616, -122.29471829324208), (47.63071171350906, -122.29473250018519), (47.630729243783136, -122.29474197203942), (47.630747157751536, -122.29474971530679), (47.63076992020258, -122.29475728431473), (47.63079749478684, -122.29476444855028), (47.630825279988564, -122.29476953249785), (47.63085320295186, -122.29477252476123), (47.63087652638172, -122.29477341372963), (47.63090451635739, -122.29477255320923), (47.63127328719702, -122.29477381999702), (47.631287274294266, -122.29477299282688), (47.63130121634477, -122.29477113633182), (47.631319675743555, -122.29476706818613), (47.63133337809373, -122.29476283210921), (47.631351393463845, -122.29475562368825), (47.63136904596561, -122.2947466625569), (47.631386273352014, -122.2947360404247), (47.631407390989, -122.2947213675759), (47.63142807057098, -122.29470538538897), (47.63144827383247, -122.29468812186417), (47.63146796457357, -122.29466960817504), (47.63148710795757, -122.29464987864957), (47.63150567055098, -122.29462896765463), (47.6315236167755, -122.29460691261286), (47.6315409166396, -122.29458375318067), (47.63155753800662, -122.29455953206994), (47.63157345157351, -122.29453428999525), (47.631588627943806, -122.29450807493804), (47.631603041256284, -122.29448093290236), (47.63161400333591, -122.29445858396001), (47.63162697783518, -122.29442989572814), (47.631850152985756, -122.29382533905009), (47.63185502107555, -122.29381313164055), (47.63186145870414, -122.29379474276726), (47.631867069179954, -122.29377577197606), (47.63187033908033, -122.29376284157311), (47.63187322405432, -122.2937497124003), (47.63187681927694, -122.29372969848497), (47.631879522027724, -122.29370937912613), (47.63188082261954, -122.29369570908233), (47.631882548688594, -122.29366129331693), (47.63188362590018, -122.29364758065387), (47.63188623347214, -122.29362723784716), (47.63189001297513, -122.29360730282292), (47.63189682576302, -122.29358160853153), (47.63190321672686, -122.29356318819059), (47.63191065213071, -122.29354564766159), (47.631919079775294, -122.29352911632377), (47.63192843557229, -122.29351372010727), (47.631935155357965, -122.29350414000393), (47.63194965160373, -122.29348676652094), (47.63196135412822, -122.29347541033809), (47.63196950365341, -122.29346868561497), (47.63198651671572, -122.29345736011935), (47.63222554848507, -122.29317764715307), (47.632344566311176, -122.29309374424895), (47.63238794473497, -122.2930833288129), (47.632411450626805, -122.29308980495819), (47.63277870751325, -122.29326877993078), (47.6328099239386, -122.293287105612), (47.63286026867388, -122.29334667953974), (47.63288718205247, -122.29339396490651), (47.632917652714454, -122.29347043268058), (47.63294812336505, -122.29354689742986), (47.632978892266976, -122.29360010773466), (47.63301767000031, -122.29364190994376), (47.63335266605013, -122.29388396395227), (47.63343066888309, -122.29393268476016), (47.633496733328855, -122.2939927025362), (47.63355508726504, -122.29404087181439), (47.633946643927395, -122.2944706430553), (47.634028352814305, -122.2945369182601), (47.63409063602141, -122.29458519800268), (47.63458994315262, -122.29489004510704), (47.63463695333725, -122.29490299850681), (47.63468796834922, -122.29491024881285), (47.63472741744797, -122.29489972399743), (47.63476408179501, -122.29488745929079), (47.63494221017004, -122.29479275290149), (47.635018322876725, -122.29476996411458), (47.63514496319987, -122.29474859399375), (47.63528828705604, -122.2947401558649), (47.635364239818465, -122.29472982568541), (47.63544019186478, -122.2947194964943), (47.63551614463836, -122.29470916521628), (47.63560909940857, -122.29468684824577), (47.636303970884036, -122.29436983522831), (47.6364139282475, -122.29433553137058), (47.636565513198754, -122.29433978862119), (47.63668309419925, -122.29436802002462), (47.63677540929567, -122.29439554072111), (47.63690109079796, -122.29444892837081), (47.63706855901511, -122.29452841880111), (47.637245408461666, -122.29453338649725), (47.63740621473644, -122.29447558022906), (47.63806025658387, -122.2940576906363), (47.63806728658222, -122.294056870283), (47.63807383756783, -122.29405612683159), (47.63808038900203, -122.2940554031257), (47.638086941599795, -122.29405469814661), (47.63809349533458, -122.29405401397088), (47.63810004953127, -122.2940533485024), (47.638106604878324, -122.29405270279915), (47.63811316137553, -122.29405207686095), (47.638119718308054, -122.29405147170637), (47.63812627641757, -122.29405088424058), (47.63813283498899, -122.29405031548202), (47.63813939469742, -122.29404976752676), (47.63814595485441, -122.29404923931713), (47.63815251545997, -122.29404873085292), (47.63815907721584, -122.294048242154), (47.63816563943363, -122.29404777216226), (47.6381722020868, -122.29404732295428), (47.63817876893718, -122.29404703899833), (47.63818533829268, -122.29404688805101), (47.638191908075, -122.2940468679767), (47.63819847688043, -122.29404697873619), (47.63820504469603, -122.29404722136755), (47.63821161014479, -122.29404759375524), (47.63821817106847, -122.29404809999282), (47.63822472680533, -122.29404873694612), (47.63823127596522, -122.29404950353761), (47.638237817104795, -122.2940504028423), (47.638244350264074, -122.29405143174581), (47.63825087332472, -122.29405259122724), (47.638257384883104, -122.29405388124732), (47.63826388423771, -122.29405530178614), (47.638270370011774, -122.29405685072821), (47.638276841463586, -122.29405853116822), (47.63828329652808, -122.29406033993257), (47.63828973449009, -122.29406227803995), (47.638296153258004, -122.29406434439277), (47.63830255493691, -122.29406653905046), (47.63830893164813, -122.29406887425472), (47.63831528480857, -122.29407134900678), (47.638321612312986, -122.2940739632476), (47.638327913473184, -122.2940767159191), (47.63833418618383, -122.29407960696257), (47.63834042905493, -122.29408263530003), (47.638346640696525, -122.29408579985426), (47.63835282040681, -122.29408910060533), (47.63835896608065, -122.29409253749428), (47.63836507635464, -122.29409610736704), (47.638371150487195, -122.29409981331857), (47.638377186439776, -122.2941036500988), (47.638383183483924, -122.29410761976442), (47.63838914022971, -122.29411172123793), (47.638395054598604, -122.29411595238368), (47.63840092657724, -122.29412031423998), (47.638406753425535, -122.29412480153695), (47.63841253509011, -122.29412941842753), (47.63841827020748, -122.29413416175771), (47.63842395668597, -122.29413903043), (47.63842959314879, -122.29414402232887), (47.63843517958259, -122.29414913849219), (47.63844071390884, -122.29415437678473), (47.6384461954393, -122.29415973614847), (47.63845162209542, -122.29416521444799), (47.63845699317547, -122.29417081166346), (47.63846230799116, -122.29417652673708), (47.63846756517895, -122.29418235651463), (47.63847276262039, -122.29418830197544), (47.63847789964052, -122.29419436102326), (47.63848297625266, -122.29420053262001), (47.638487989676484, -122.29420681461009), (47.63882703240263, -122.29470246146393), (47.6388352426647, -122.2947088375309), (47.638841120460626, -122.29471318199916), (47.63884704575898, -122.29471738032282), (47.63885301715624, -122.29472143246254), (47.6388590339641, -122.29472533736019), (47.63886509340254, -122.29472909286072), (47.6388711940547, -122.29473269996257), (47.63887733455733, -122.2947361555117), (47.63888351277858, -122.29473946152537), (47.638889727381866, -122.29474261277299), (47.63889597763871, -122.2947456113113), (47.63890225933897, -122.29474845702184), (47.63890857253602, -122.2947511457516), (47.63891491578655, -122.294753680576), (47.63892128562194, -122.29475605828164), (47.63892768204233, -122.29475827886827), (47.638934101539164, -122.2947603422375), (47.63894054412579, -122.294762247351), (47.63894700700881, -122.29476399309144), (47.63895348877153, -122.29476558045774), (47.6389599873355, -122.2947670073142), (47.63896650128397, -122.29476827465955), (47.63897302852527, -122.29476938139629), (47.6389795669542, -122.29477032746519), (47.63898611516755, -122.29477111282688), (47.63899267107338, -122.29477173638384), (47.63899923395685, -122.2947721991545), (47.63900580030936, -122.29477250104023), (47.63901236945584, -122.2947726399448), (47.63901893926474, -122.29477261788543), (47.639025507630805, -122.29477243480291), (47.639032073865714, -122.29477208963921), (47.639038634447715, -122.29477158333404), (47.639045188688385, -122.29477091482919), (47.639997767248936, -122.29472288820014), (47.64000580804523, -122.29472119375244), (47.640012308674756, -122.2947197800725), (47.64001880419713, -122.29471832678126), (47.64002529667739, -122.29471683705255), (47.64003178476557, -122.29471530669392), (47.64003826842169, -122.29471373882016), (47.64004474697054, -122.29471213133498), (47.64005122319241, -122.29471048639378), (47.64005769359203, -122.29470880285973), (47.640064159572894, -122.29470708077213), (47.64007062044654, -122.29470531907324), (47.64007707688801, -122.29470351985901), (47.64008352820902, -122.29470168207162), (47.64008997442287, -122.29469980467269), (47.64009641617791, -122.29469789183493), (47.64010285212414, -122.29469593936601), (47.64010928224806, -122.29469394830407), (47.64011570725143, -122.29469191866887), (47.640122127121046, -122.29468985149852), (47.640128541168465, -122.29468774573527), (47.640134949393584, -122.29468560137887), (47.64014135108154, -122.29468341944803), (47.64014774763564, -122.29468119998194), (47.64015413766579, -122.2946789419032), (47.640160521873646, -122.2946766452313), (47.640166899544354, -122.29467431098477), (47.64017327067778, -122.29467193916359), (47.64017963527396, -122.29466952976802), (47.64018599334624, -122.29466708175944), (47.64019234417948, -122.29466459615648), (47.64019868986568, -122.29466207405656), (47.64020502765105, -122.2946595112278), (47.64021135817089, -122.29465691288111), (47.640217681465025, -122.29465427590178), (47.64071317301574, -122.29433652596626)]"
